убрана группа,PR-AUC,Δ,признаков убрано
новые контрагенты,0.264543785450544,-0.0906090881610293,18
транзитность,0.35214541739799976,-0.003007456213573567,6
профиль отправителя,0.30574701674167837,-0.04940585686989496,26
профиль получателя,0.25725342952336355,-0.09789944408820977,26
payment format,0.22691157788621902,-0.1282412957253543,7
