модель,PR-AUC,без fmt,"время, с",lift
naive LogReg (3 признака),0.011184214804767615,0.0016966530608766562,12,12.557476608295868
LogReg + FE,0.03585768412560113,0.022511496114001953,95,40.26049548359458
RandomForest + FE,0.12618111562661452,0.0647371267536315,970,141.6743540381967
MLP + FE,0.20191492383345694,0.12487655774866216,109,226.70719198129356
XGBoost + FE,0.2441967881583517,0.13811521385278316,15,274.18066521865217
XGBoost tuned + FE,0.347772696912015,0.2282104128197476,54,390.47421591142603
Ранговый бленд (XGB+MLP),0.347772696912015,,0,390.47421591142603
Stacking (meta-LogReg),0.3265535211134187,,0,366.6496284558449
